[Grid]
[node_id]   [x]         [y]       [z]
0          0.000000   0.0      0.0      
1          1.111111   0.0      0.0      
2          2.222222   0.0      0.0      
3          3.333333   0.0      0.0      
4          4.444444   0.0      0.0      
5          5.555556   0.0      0.0      
6          6.666667   0.0      0.0      
7          7.777778   0.0      0.0      
8          8.888889   0.0      0.0      
9          10.000000  0.0      0.0      
