[Grid]
[node_id]   [x]         [y]       [z]
0          0.000000   0.0      0.0      
1          0.051573   0.0      0.0      
2          0.103146   0.0      0.0      
3          0.154720   0.0      0.0      
4          0.206293   0.0      0.0      
5          0.257866   0.0      0.0      
6          0.309439   0.0      0.0      
7          0.361012   0.0      0.0      
8          0.412586   0.0      0.0      
9          0.464159   0.0      0.0      
