2025-06-18 15:55:41,556 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0011_2025-06-18_15-55-33-619286_pid33080_9a2e6874\logs\ModifyGlobalSystem.log (Module: modification, Line: 97)
2025-06-18 15:55:41,557 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 115)
2025-06-18 15:55:41,558 [DEBUG] Computed penalty value: 4.48e+51 (Module: modification, Line: 172)
2025-06-18 15:55:41,559 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 263)
2025-06-18 15:55:41,560 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1198
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: modification, Line: 275)
2025-06-18 15:55:41,577 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 439  439  1.120022e+15
 511  511  1.120022e+15
  45   51 -6.565378e+07
  99   99  1.313076e+08
 278  272 -2.240011e+15
 242  248 -2.240011e+15
 288  294 -2.000000e+11
 492  492  4.000000e+11
  97  103 -5.600112e+14
 477  471 -6.565378e+07
 128  128  4.480022e+15
 312  312  4.000000e+11
  33   33  1.313076e+08
 427  433 -5.600112e+14
 247  247  1.120022e+15
 375  381 -6.565378e+07
 505  505  1.120022e+15
 212  206 -2.240011e+15
 578  584 -2.240011e+15
 297  291 -6.565378e+07
 429  435 -6.565378e+07
 470  476 -2.240011e+15
 279  285 -6.565378e+07
  44   50 -2.240011e+15
 201  207 -6.565378e+07
 123  123  1.313076e+08
 422  428 -2.240011e+15
 357  363 -6.565378e+07
 350  350  4.480022e+15
 589  589  1.120022e+15
 246  240 -2.000000e+11
 163  157 -5.600112e+14
 483  477 -6.565378e+07
 567  561 -6.565378e+07
  31   37 -5.600112e+14
 254  248 -2.240011e+15
 348  348  4.000000e+11
 457  463 -5.600112e+14
 438  438  4.000000e+11
 374  374  4.480022e+15
 237  231 -6.565378e+07
 224  230 -2.240011e+15
 308  314 -2.240011e+15
 252  252  4.000000e+11
 174  168 -2.000000e+11
 222  216 -2.000000e+11
 258  252 -2.000000e+11
  55   61 -5.600112e+14
 501  501  1.313076e+08
 362  368 -2.240011e+15
 374  380 -2.240011e+15
  12   12  4.000000e+11
 158  152 -2.240011e+15
 530  530  4.480022e+15
 577  577  1.120022e+15
  66   60 -2.000000e+11
 344  350 -2.240011e+15
 462  456 -2.000000e+11
 584  578 -2.240011e+15
 475  481 -5.600112e+14
 361  355 -5.600112e+14
 512  518 -2.240011e+15
 138  144 -2.000000e+11
 534  534  4.000000e+11
 206  212 -2.240011e+15
 240  246 -2.000000e+11
  51   57 -6.565378e+07
 291  291  1.313076e+08
 380  386 -2.240011e+15
 541  541  1.120022e+15
 102  108 -2.000000e+11
 152  158 -2.240011e+15
  96   96  4.000000e+11
 584  590 -2.240011e+15
 511  517 -5.600112e+14
 222  222  4.000000e+11
 597  603 -6.565378e+07
 312  318 -2.000000e+11
 555  555  1.313076e+08
  91   97 -5.600112e+14
 355  361 -5.600112e+14
  44   44  4.480022e+15
 138  138  4.000000e+11
  43   37 -5.600112e+14
 170  170  4.480022e+15
 384  390 -2.000000e+11
