Row,Col,K Value
0,0,1.3729295580000026e+16
0,6,-1.3729295580000026e+16
1,1,73653703200000.44
1,5,42087830400000.25
1,7,-73653703200000.44
1,11,31565872800000.19
2,2,11409552000000.07
2,4,-6519744000000.039
2,8,-11409552000000.07
2,10,-4889808000000.029
3,3,105572.56500000022
3,9,-105572.56500000022
4,2,-6519744000000.039
4,4,3803184000000.0225
4,8,6519744000000.039
4,10,2716560000000.016
5,1,42087830400000.25
5,5,24551234400000.15
5,7,-42087830400000.25
5,11,17536596000000.107
6,0,-1.3729295580000026e+16
6,6,1.3729295580000026e+16
7,1,-73653703200000.44
7,5,-42087830400000.25
7,7,73653703200000.44
7,11,-31565872800000.19
8,2,-11409552000000.07
8,4,6519744000000.039
8,8,11409552000000.07
8,10,4889808000000.029
9,3,-105572.56500000022
9,9,105572.56500000022
10,2,-4889808000000.028
10,4,2716560000000.016
10,8,4889808000000.028
10,10,2173248000000.0132
11,1,31565872800000.188
11,5,17536596000000.107
11,7,-31565872800000.188
11,11,14029276800000.086
