Local DOF,R_e Value
0,0.000000000000e+00
1,-3.794136995899e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-2.241027767464e-06
6,0.000000000000e+00
7,-4.020116799709e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-2.284793385840e-06
