Local DOF,R_e Value
0,0.000000000000e+00
1,-1.442208087790e-04
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-2.508936223664e-06
6,0.000000000000e+00
7,-1.467307740908e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-2.511332766643e-06
