r/R,Fy,V,Mz
0.0,-10.143482,-150.90412166855992,73.85832814931935
0.0056,-10.979138,-150.82345332261812,72.65822882535885
0.01702857142857143,-13.081276,-150.7361392324145,71.45877103475314
0.028457142857142858,-14.929499,-150.63210741200723,70.26000762929391
0.03988571428571429,-16.781243,-150.51337717814175,69.06207156053004
0.051314285714285715,-18.837631,-150.37992052926538,67.86507972093514
0.06274285714285714,-21.143933,-150.23010998745812,66.6691492256715
0.07417142857142858,-23.576062,-150.0619580548363,65.47441013278942
0.08560000000000001,-26.185007,-149.87446406358538,64.28100830636788
0.09702857142857142,-28.886661,-149.66622184427993,63.08909756852402
0.10845714285714286,-31.754782,-149.4364941075272,61.89884292425697
0.11988571428571429,-34.879188,-149.1839569866763,60.71041524202728
0.13131428571428572,-38.086842,-148.90657231701812,59.52399591864597
0.14274285714285714,-41.351083,-148.60367804991267,58.339782559892086
0.15417142857142857,-44.716361,-148.27482416438176,57.15797803663697
0.1656,-48.2766,-147.91920714071995,55.97878879864604
0.17702857142857145,-51.968371,-147.5352765072654,54.80242768585785
0.18845714285714288,-56.070103,-147.1219862258945,53.62911986868916
0.19988571428571428,-59.883474,-146.67607598858177,52.459098836412686
0.21131428571428573,-64.157869,-146.19983905171634,51.29262400664167
0.22274285714285716,-68.266303,-145.68960901715997,50.129936559346746
0.2341714285714286,-72.584234,-145.1467057274836,48.971306832363
0.2456,-76.700429,-144.56946311018177,47.81699466717752
0.25702857142857144,-81.262153,-143.95948551664358,46.66727315509764
0.2684571428571429,-85.844661,-143.31322977623995,45.52240262846164
0.2798857142857143,-90.363368,-142.63053059948723,44.38267159747751
0.2913142857142857,-95.273147,-141.91189537833816,43.24836988685541
0.30274285714285715,-100.136236,-141.1542140238327,42.11978328615568
0.3141714285714286,-105.117954,-140.35785784880727,40.99722231862796
0.32560000000000006,-110.35684,-139.52188342917816,39.88099455457217
0.33702857142857146,-115.210218,-138.64424557797815,38.77141506708267
0.34845714285714285,-120.514527,-137.7280101351927,37.66881519406799
0.35988571428571425,-126.045314,-136.76959096955997,36.57350189164738
0.3713142857142857,-131.394678,-135.76718696331272,35.485810635464006
0.38274285714285716,-137.207924,-134.7222409240909,34.40609122495941
0.3941714285714286,-143.105556,-133.6310637248618,33.334681985319456
0.4056,-149.118448,-132.49298426678183,32.271950580351195
0.41702857142857147,-155.304499,-131.30708591850544,31.218270010927736
0.4284571428571429,-161.70139,-130.0719915937309,30.174020567641293
0.4398857142857144,-168.186296,-128.78602453944,29.13959349267588
0.4513142857142857,-174.434847,-127.44848479634182,28.115393362974952
0.4627428571428572,-181.078163,-126.0612520312909,27.10183032206732
0.4741714285714286,-187.721001,-124.62118678590545,26.09929956500392
0.48560000000000003,-194.354526,-123.12829286158909,25.10822125409201
0.4970285714285715,-201.250599,-121.58264432209091,24.1290155214073
0.5084571428571429,-208.523349,-119.9821531947709,23.16210191001671
0.5198857142857144,-215.280865,-118.32382387017817,22.20791656806411
0.5313142857142857,-222.302318,-116.61175386379635,21.266919466958367
0.5427428571428572,-230.045479,-114.84384415664726,20.339537991685194
0.5541714285714285,-237.691698,-113.01435520183635,19.426216220155784
0.5656,-245.386507,-111.1240579526509,18.52744387533245
0.5770285714285714,-253.023609,-109.17256598607273,17.643704548996283
0.5884571428571429,-260.780236,-107.16033823013454,16.775484906045225
0.5998857142857144,-268.9208,-105.08642413510908,15.923267961647754
0.6113142857142858,-276.452456,-102.94777035474544,15.087544290435085
0.6227428571428572,-284.508661,-100.7492193683018,14.268828749468438
0.6341714285714286,-292.408516,-98.48659958063999,13.467597684892162
0.6456000000000001,-300.701243,-96.16115440066908,12.684360618409036
0.6570285714285715,-308.836345,-93.76975942451999,11.919617183229896
0.6684571428571429,-316.512807,-91.31366820082908,11.17389186009744
0.6798857142857143,-324.438612,-88.79652816843273,10.447699160623937
0.6913142857142858,-332.308358,-86.21635637045455,9.741524589335347
0.7027428571428572,-340.931513,-83.57359862883273,9.055869420672858
0.7141714285714286,-348.935028,-80.86226328726546,8.391231383577377
0.7256000000000001,-357.577465,-78.08727817368,7.748155856998289
0.7370285714285716,-365.677112,-75.24356211566182,7.127149030213422
0.7484571428571429,-374.456121,-72.33543177404728,6.52875750167905
0.7598857142857143,-382.700629,-69.35748436813093,5.9534935406250815
0.7713142857142857,-391.511898,-66.31397063859274,5.401912383122891
0.7827428571428572,-399.957224,-63.20038328977092,4.874535460262519
0.7941714285714285,-408.50679,-60.01963256654183,4.371920048427141
0.8056,-415.850543,-56.77088947661455,3.894600279616133
0.8170285714285714,-423.728282,-53.46374352192,3.4431168785784747
0.8284571428571429,-431.095534,-50.09394805743273,3.0179343073696057
0.8398857142857143,-437.854104,-46.66556284704,2.619550800454677
0.8513142857142858,-443.999963,-43.18342857268364,2.248432306103853
0.8627428571428573,-449.621142,-39.65241795784364,1.905006275964002
0.8741714285714286,-453.872248,-36.07670363946546,1.5896614102410782
0.8856,-457.4425,-32.46718143446182,1.3027532252974021
0.8970285714285715,-459.502852,-28.829265989007276,1.044550586034973
0.908457142857143,-459.76953,-25.17496512601091,0.8152792961514862
0.9198857142857144,-457.386804,-21.51854344561091,0.6150696644039013
0.9313142857142859,-451.991792,-17.881070935254545,0.44393855707462476
0.9427428571428571,-442.033694,-14.286503483967273,0.301735276582255
0.9541714285714286,-425.885561,-10.771130070229091,0.1881186106933953
0.9656,-401.096911,-7.384178354203636,0.10245875082579158
0.9770285714285715,-363.32604,-4.194364011087273,0.04373439424163393
0.9997714285714286,-164.085987,-1.3049311038872726,0.010377761178914419
