r/R,f_y [N/m],V_y [N],M_z [Nm],f_z [N/m],V_z [N],M_y [Nm],m_x [Nm/m],T [Nm]
0.0,10.688725,134.61909509956973,-64.58131396152632,-8.889841,-25.835500476,10.642205744934017,0.04212,0.14223777417931036
0.0056,11.5693,134.5295717879835,-63.49877946132756,-9.622217,-25.761043702030346,10.434680885867623,0.04559,0.14188499851034483
0.01702857142857143,13.893698,134.42715785395868,-62.41701694596769,-10.640845,-25.679544269213793,10.227783293420522,0.035829,0.1415575256772414
0.028457142857142858,15.789135,134.30777145254075,-61.33614652685355,-11.459583,-25.590654823630345,10.021571016793304,0.028045,0.14130062004413793
0.03988571428571429,17.648386,134.1732834370428,-60.25629720815282,-12.218049,-25.495421754786207,9.816099293617217,0.022062,0.14109908623448275
0.051314285714285715,19.694464,134.02308791897386,-59.17759290625745,-12.979929,-25.394073749478622,9.611418233078684,0.019312,0.14093267715310345
0.06274285714285714,21.988529,133.85543604643868,-58.1001670084876,-13.806684,-25.28633614464,9.407578129283856,0.01425,0.14079768847448276
0.07417142857142858,24.386327,133.66891317734076,-57.024165625954446,-14.640327,-25.171920304535174,9.204631541965519,0.006577,0.14071392084413795
0.08560000000000001,26.947706,133.46244415633663,-55.94974488390616,-15.459041,-25.05085857062069,9.00263206168972,0.003297,0.14067420693517244
0.09702857142857142,29.603459,133.23499147062628,-54.877069404887926,-16.301954,-24.92311365831724,8.801633298904088,0.014847,0.1406012305158621
0.10845714285714286,32.370558,132.98572770018214,-53.806311312333335,-17.112776,-24.788717309793103,8.601688886348212,0.026995,0.1404329391062069
0.11988571428571429,35.369605,132.71327209286076,-52.737651611096766,-17.942346,-24.647723191514483,8.402852113242263,0.039666,0.14016482396689656
0.13131428571428572,38.416489,132.4164993340966,-51.67128138560572,-18.834189,-24.499805431431724,8.205177363636041,0.053068,0.13979184142344828
0.14274285714285714,41.530574,132.09494673312005,-50.607398107354676,-19.615786,-24.34515698025931,8.008719556198123,0.063386,0.13932345540413793
0.15417142857142857,44.788267,131.74776640159453,-49.54620451907767,-20.470968,-24.183925291067588,7.813532240469586,0.075826,0.13876353513931033
0.1656,48.120122,131.37408245356144,-48.487910296647826,-21.276625,-24.016013592877243,7.619668762144643,0.086929,0.13810892330482757
0.17702857142857145,51.621595,130.97291438904833,-47.43273258245051,-22.145489,-23.84136685574069,7.427183077471305,0.099776,0.13735798291862067
0.18845714285714288,55.440351,130.54230385865384,-46.38090033912596,-22.99883,-23.65979329132138,7.236130135417742,0.119969,0.1364741533737931
0.19988571428571428,59.003529,130.08200268061245,-45.33265140413492,-23.79392,-23.471589623735174,7.046564462893183,0.123832,0.13549356893793102
0.21131428571428573,62.898442,129.59170454621795,-44.28822584513708,-24.615844,-23.27688221432276,6.858538885127974,0.138277,0.13443934846344827
0.22274285714285716,66.748195,129.07025683105658,-43.247869597721724,-25.439656,-23.075555541219313,6.672106183755338,0.148056,0.13328769739034482
0.2341714285714286,70.694269,128.51745376205795,-42.211834061046524,-26.241498,-22.867690375613794,6.487319280178117,0.155595,0.13206639212689655
0.2456,74.488406,127.93351903060967,-41.18037056220043,-26.95583,-22.653727053616553,6.304228999869655,0.160494,0.13079506036965519
0.25702857142857144,78.544391,127.31801056708967,-40.15373130660472,-27.701908,-22.43388986188138,6.1228834951447,0.165954,0.129482064
0.2684571428571429,82.739938,126.6693138727945,-39.132176771340305,-28.489752,-22.20788313007448,5.9433312054280885,0.169176,0.12813414802758621
0.2798857142857143,86.937673,125.9868588194483,-38.11597622020847,-29.309941,-21.97540877864276,5.765622958247648,0.178802,0.12673455651310345
0.2913142857142857,91.244203,125.27019902577106,-37.105403005482046,-30.11629,-21.7363923792,5.589811079383828,0.184722,0.12527243791448275
0.30274285714285715,95.677108,124.51838862180416,-36.10073607916435,-30.843971,-21.49120600530207,5.415946697467678,0.185096,0.1237850044137931
0.3141714285714286,100.156967,123.7307304663559,-35.102261001562866,-31.59913,-21.240055546659313,5.244078616522134,0.193402,0.12226265935448276
0.32560000000000006,104.540526,122.90742303244141,-34.11026533866288,-32.200873,-20.983447534593108,5.074252775163607,0.19351,0.12070647260689656
0.33702857142857146,109.098073,122.04815385356693,-33.12503711493929,-32.938989,-20.72145051722483,4.906512798999329,0.193479,0.11914997616
0.34845714285714285,113.670909,121.15216164458487,-32.14686867357017,-33.621755,-20.453738614460693,4.7409033486434735,0.19635,0.11758205703724138
0.35988571428571425,118.48923,120.21839755448279,-31.176059638226054,-34.286474,-20.180607034096557,4.577469208076311,0.200383,0.11598636955034483
0.3713142857142857,123.287428,119.24595516175451,-30.212917496818402,-34.838325,-19.90258232529104,4.416251856114967,0.195107,0.11439568149517242
0.38274285714285716,128.314891,118.23399328285244,-29.257756766246715,-35.613208,-19.619221400838626,4.257292435886837,0.198922,0.11281086968275862
0.3941714285714286,133.420949,117.18127368362485,-28.31090032697189,-36.313546,-19.329927035784834,4.10063627472657,0.202704,0.1111955022124138
0.4056,138.782791,116.08645146867313,-27.372681448980025,-37.50484,-19.03302439636966,3.946337838345656,0.217706,0.10950458419862069
0.41702857142857147,144.203264,114.94826203918348,-26.443443897822906,-38.078986,-18.729021035520006,3.794456287339601,0.232937,0.1076920669737931
0.4284571428571429,149.747258,113.76597276724968,-25.523539472035928,-38.666707,-18.42034456546759,3.6450389768672147,0.230965,0.10582622113655173
0.4398857142857144,155.292295,112.53908264787313,-24.6133249319111,-39.438824,-18.106198733197246,3.498126700648033,0.243408,0.10391826021517242
0.4513142857142857,160.959632,111.2670955870014,-23.713161048141593,-40.063205,-17.786436089660693,3.3537640480363726,0.24298,0.10196197413517243
0.4627428571428572,166.506454,109.9500044052414,-22.823410615621068,-40.665274,-17.461740579641383,3.211993450563704,0.247573,0.09998893613793104
0.4741714285714286,172.250082,108.58750225492967,-21.944437692281678,-41.241669,-17.132305206140693,3.0728538126170273,0.250037,0.0979875144
0.48560000000000003,177.835476,107.17943399682208,-21.07660819419877,-41.676946,-16.79880081808552,2.936380564111312,0.244592,0.09599808244965517
0.4970285714285715,183.746281,105.72512723349519,-20.220291365857246,-42.286702,-16.461093235233108,2.8026069764430677,0.248082,0.09401651364413793
0.5084571428571429,189.62647,104.2233962791283,-19.375863925080957,-42.965787,-16.11820184499311,2.671570804782461,0.254625,0.09199459142068965
0.5198857142857144,195.841523,102.67301742728277,-18.543712280435585,-43.554419,-15.77021160955035,2.5433134066673593,0.253276,0.08995177857103448
0.5313142857142857,201.73251,101.07394724765794,-17.72422793699817,-44.00652,-15.418035474206901,2.4178721259828957,0.254644,0.08790888930206896
0.5427428571428572,208.120654,99.42548955631449,-16.917805374625225,-44.625287,-15.061552233914487,2.2952811221803,0.262209,0.08583007089103448
0.5541714285714285,214.753348,97.72466115654622,-16.12485387189598,-45.3579,-14.699633650063452,2.1755795800593623,0.267148,0.08370096052965517
0.5656,221.311702,95.9707774519945,-15.345797459506317,-45.850367,-14.332787709964142,2.0588091791133754,0.265781,0.08155748333793103
0.5770285714285714,227.545315,94.16544357396415,-14.581056465697081,-46.404196,-13.961733495194487,1.9450066634799372,0.26963,0.07940402337103449
0.5884571428571429,234.253546,92.30805670682484,-13.83104718732635,-46.946679,-13.586269837953107,1.8342066942117188,0.270196,0.07723280596965518
0.5998857142857144,240.766927,90.39749160438622,-13.096192871636017,-47.542471,-13.206227960160003,1.726445420309239,0.272692,0.07504927299310345
0.6113142857142858,247.222185,88.4347657415007,-12.376917199331732,-48.040937,-12.82178490122483,1.6217589575453795,0.273113,0.07285400764137931
0.6227428571428572,253.583142,86.42049217800829,-11.673637292996162,-48.455486,-12.433669632993107,1.5201797776532697,0.273777,0.07065437834482759
0.6341714285714286,260.410139,84.3531757540138,-10.98677382307923,-48.92989,-12.041978934488279,1.4217370311390962,0.271346,0.06846185604413793
0.6456000000000001,266.862678,82.23244812039725,-10.316754955192632,-49.428449,-11.646374911696554,1.3264608382901653,0.276425,0.06625868330482759
0.6570285714285715,273.584295,80.05873312278622,-9.66400863173729,-49.864656,-11.247011195586209,1.2343820605124596,0.275597,0.06403841275034483
0.6684571428571429,279.621589,77.83370090520829,-9.028954372943316,-49.823577,-10.846058247409657,1.1455222115527686,0.276948,0.06181603865379311
0.6798857142857143,285.536242,75.56059713252415,-8.41199192731845,-50.030441,-10.444438500529657,1.059890365322436,0.278593,0.05958161443862069
0.6913142857142858,291.642833,73.2391430874207,-7.813509110102782,-50.446426,-10.040313612016552,0.9774992795842503,0.290402,0.05729307730758621
0.7027428571428572,298.357035,70.86612292867864,-7.233907791891822,-50.832914,-9.632961121754484,0.8983720118274553,0.292591,0.05494823925517242
0.7141714285714286,304.640002,68.44082725986209,-6.673605630857636,-51.165522,-9.222716377787586,0.8225331765327454,0.296533,0.05257874189793104
0.7256000000000001,311.450457,65.96286894476691,-6.13302469550219,-51.542202,-8.809618828568276,0.7500058807234575,0.297398,0.05018991045517242
0.7370285714285716,318.130292,63.43065175292691,-5.612595031564982,-51.847712,-8.39377746412138,0.6808126343931361,0.299587,0.04778879561379311
