Local DOF,R_e Value
0,0.000000000000e+00
1,-4.128832297135e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-2.303480017056e-06
6,0.000000000000e+00
7,-4.361154646199e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-2.349526579819e-06
