Local DOF,R_e Value
0,0.000000000000e+00
1,-1.913628149945e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-1.702439793467e-06
6,0.000000000000e+00
7,-2.086537507726e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-1.764606929923e-06
