Local DOF,R_e Value
0,0.000000000000e+00
1,-2.049533177451e-04
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-3.359260707094e-06
6,0.000000000000e+00
7,-2.083134100465e-04
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-3.361196658590e-06
