Local DOF,R_e Value
0,0.000000000000e+00
1,-9.198649149336e-05
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-2.967579798106e-06
6,0.000000000000e+00
7,-9.496431653293e-05
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-2.991469838443e-06
