Theory,Parameter,Scale,uy [mm],theta_z [deg],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
Levinson,F,0.1,0.038486948703235706,0.0032672121495575493,2.963269954739046,6.503384051379256e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.10234114021054533,0.0393879821351391,0.0033437021669546637,2.9632699547390464,6.811455193668256e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.10473708979594494,0.04031011002302724,0.003421982922906113,2.9632699547390464,7.1341199426028734e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.10718913192051278,0.04125382621769141,0.0035020963411122627,2.963269954739046,7.47206961043439e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.10969857978923835,0.042219636131662255,0.0035840853267660776,2.963269954739046,7.82602825749618e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.11226677735108136,0.04320805700988652,0.0036679937895312533,2.9632699547390464,8.196754243509801e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.11489510001873092,0.04421961820674032,0.0037538666670582747,2.9632699547390464,8.585041852377792e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.11758495540521567,0.04525486146952793,0.003841749949051032,2.9632699547390464,8.99172299394438e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.12033778407775896,0.04631434122861763,0.003931690701896871,2.9632699547390464,9.417668986370157e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.12315506032928256,0.04739862489436996,0.00402373709387325,2.963269954739046,9.86379242293937e-09,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.12603829296797275,0.04850829316101761,0.004117938420944544,2.9632699547390464,1.0331049127299623e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.12898902612533086,0.049643940317659396,0.004214345133162771,2.963269954739046,1.0820440201322991e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.1320088400831418,0.05080617456653523,0.004313008861686405,2.963269954739046,1.1333014169976188e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.13509935211980267,0.05199561834875223,0.004413982446431727,2.963269954739046,1.1869869227795124e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.13826221737646557,0.05321290867763655,0.004517319964371552,2.9632699547390464,1.2432155591777016e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.1414991297434576,0.05445869747988947,0.004623076758496447,2.963269954739046,1.3021077965731093e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.14481182276745339,0.05573365194473038,0.004731309467453982,2.9632699547390464,1.3637898121367776e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.14820207057988583,0.05703845488121383,0.004842076055881884,2.963269954739046,1.4283937601656453e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.15167168884709228,0.05837380508391168,0.004955435845451322,2.963269954739046,1.4960580552243666e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.15522253574270473,0.059740417707156476,0.005071449546636958,2.9632699547390464,1.5669276686998124e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.15885651294280528,0.061139024648046464,0.005190179291230795,2.963269954739046,1.6411544394036298e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.16257556664437942,0.06257037493841708,0.005311688665617194,2.963269954739046,1.7188973988883163e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.1663816886076129,0.06403523514598934,0.005436042744826937,2.963269954739046,1.8003231121738186e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.17027691722259,0.06553438978490934,0.0055633081273885115,2.963269954739046,1.885606034614643e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.174263338600965,0.06706864173589934,0.005693552970995339,2.9632699547390464,1.974928885672095e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.17834308769319093,0.06863881267624507,0.005826847029008009,2.963269954739046,2.0684830403924375e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.18251834943190434,0.07024574351984952,0.005963261687811081,2.9632699547390464,2.1664689394297195e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.1867913599020783,0.07189029486758926,0.00610287000504447,2.9632699547390464,2.2690965184917622e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
Levinson,F,0.19116440753857022,0.07357334746821398,0.006245746748729874,2.963269954739046,2.376585658129377e-08,1.0000000000000002,1.0000000000000004,8.117749006894588e-17,1.9999999999999991
