Theory,Parameter,Scale,uy [m],theta_z [rad],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
lev,F,0.1,3.8486948703235705e-05,5.702360937094063e-05,2.963269954739046,6.503384051379256e-09,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,0.16681005372000587,6.420009980705859e-05,9.512111342475236e-05,2.963269954739046,1.8096052438329206e-08,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,0.2782559402207124,0.0001070922209764518,0.00015867158040289712,2.9632699547390464,5.0353340855106095e-08,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,0.46415888336127786,0.00017864059134076662,0.00026468014850845504,2.963269954739047,1.4011116202891562e-07,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,0.774263682681127,0.000297990466381269,0.00044151309791314513,2.9632699547390464,3.8986763125772493e-07,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,1.291549665014884,0.000497078057051091,0.0007364882358097798,2.9632699547390464,1.0848298429724036e-06,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,2.1544346900318834,0.0008291761739972861,0.0012285364217958167,2.963269954739046,3.018603479357738e-06,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,3.593813663804626,0.001383149221278362,0.0020493222651674393,2.9632699547390464,8.399443493022009e-06,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,5.994842503189409,0.002307231959042279,0.003418475571421847,2.963269954739046,2.337195046481585e-05,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,F,10.0,0.0038486948703235703,0.005702360937094063,2.963269954739046,6.503384051379256e-05,1.0000000000000004,1.0000000000000009,0.0,2.000000000000001
lev,E,0.1,0.003806286049288795,0.005702360937094062,2.996286071646953,6.503384051379254e-05,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,0.16681005372000587,0.0022836958055073185,0.0034184755714218485,2.9938099138930117,2.3371950464815865e-05,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,0.2782559402207124,0.0013709269346710465,0.0020493222651674406,2.989688528745954,8.39944349302202e-06,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,0.46415888336127786,0.0008237363724232975,0.0012285364217958171,2.9828388375801937,3.01860347935774e-06,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,0.774263682681127,0.0004957042484326059,0.0007364882358097797,2.9714824439714675,1.0848298429724032e-06,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,1.291549665014884,0.0002990541565015162,0.0004415130979131451,2.9527300545037343,3.898676312577249e-07,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,2.1544346900318834,0.0001811655235650562,0.0002646801485084551,2.921970398119474,1.401111620289157e-07,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
lev,E,3.593813663804626,0.00011049314482801762,0.00015867158040289722,2.872061984476399,5.0353340855106154e-08,-0.978719755737528,-1.0,-0.021280244262472117,-1.9999999999999996
