Theory,Parameter,Scale,uy [mm],theta_z [deg],Pi_uy,Pi_theta,Order_uy,Order_theta,Order_Pi_uy,Order_Pi_theta
Timoshenko,F,0.1,0.03858119052775742,0.0032672121495575493,2.9560316097511152,6.503384051379256e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.10234114021054533,0.039484430292909864,0.0033437021669546637,2.9560316097511152,6.811455193668256e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.10473708979594494,0.0404088161674019,0.003421982922906113,2.9560316097511152,7.1341199426028734e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.10718913192051278,0.04135484321130229,0.0035020963411122627,2.956031609751115,7.47206961043439e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.10969857978923835,0.042323018074730046,0.0035840853267660776,2.9560316097511152,7.82602825749618e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.11226677735108136,0.04331385926919392,0.0036679937895312533,2.956031609751115,8.196754243509801e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.11489510001873092,0.04432789744528403,0.0037538666670582747,2.9560316097511152,8.585041852377792e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.11758495540521567,0.04536567567686486,0.003841749949051032,2.9560316097511152,8.99172299394438e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.12033778407775896,0.046427749751921515,0.003931690701896871,2.9560316097511152,9.417668986370157e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.12315506032928256,0.04751468847021511,0.00402373709387325,2.9560316097511152,9.86379242293937e-09,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.12603829296797275,0.048627073947906656,0.004117938420944544,2.956031609751115,1.0331049127299623e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.12898902612533086,0.04976550192931271,0.004214345133162771,2.9560316097511152,1.0820440201322991e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.1320088400831418,0.05093058210595955,0.004313008861686405,2.9560316097511152,1.1333014169976188e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.13509935211980267,0.052122938443106955,0.004413982446431727,2.9560316097511152,1.1869869227795124e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.13826221737646557,0.053343209513916315,0.004517319964371552,2.9560316097511152,1.2432155591777016e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.1414991297434576,0.05459204884144206,0.004623076758496447,2.956031609751115,1.3021077965731093e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.14481182276745339,0.05587012524862959,0.004731309467453982,2.9560316097511157,1.3637898121367776e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.14820207057988583,0.05717812321650729,0.004842076055881884,2.956031609751115,1.4283937601656453e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.15167168884709228,0.05851674325076409,0.004955435845451322,2.956031609751115,1.4960580552243666e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.15522253574270473,0.059886702256909286,0.005071449546636958,2.9560316097511152,1.5669276686998124e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.15885651294280528,0.06128873392421535,0.005190179291230795,2.956031609751115,1.6411544394036298e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.16257556664437942,0.06272358911864928,0.005311688665617194,2.956031609751115,1.7188973988883163e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.1663816886076129,0.0641920362850032,0.005436042744826937,2.9560316097511157,1.8003231121738186e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.17027691722259,0.06569486185843926,0.0055633081273885115,2.9560316097511152,1.885606034614643e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.174263338600965,0.06723287068566935,0.005693552970995339,2.9560316097511152,1.974928885672095e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.17834308769319093,0.0688068864559955,0.005826847029008009,2.9560316097511152,2.0684830403924375e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.18251834943190434,0.07041775214244107,0.005963261687811081,2.9560316097511152,2.1664689394297195e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.1867913599020783,0.0720663304532099,0.00610287000504447,2.9560316097511152,2.2690965184917622e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.19116440753857022,0.07375350429371447,0.006245746748729874,2.956031609751115,2.376585658129377e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.19563983435170637,0.07548017723942087,0.006391968437313215,2.956031609751115,2.4891666548325142e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.20022003718155845,0.07724727401976382,0.006541613380644519,2.9560316097511157,2.6070807144426496e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2049074689815847,0.07905574101339065,0.006694761721917203,2.9560316097511152,2.7305804689385617e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
Timoshenko,F,0.2097046401323233,0.0809065467549997,0.006851495480589202,2.9560316097511152,2.8599305177027168e-08,0.9999999999999998,1.0000000000000004,1.2853102594249766e-16,1.9999999999999991
