[Grid]
[node_id]   [x]         [y]       [z]
0          0.000000   0.0      0.0      
1          0.086029   0.0      0.0      
2          0.172059   0.0      0.0      
3          0.258088   0.0      0.0      
4          0.344117   0.0      0.0      
5          0.430146   0.0      0.0      
6          0.516176   0.0      0.0      
7          0.602205   0.0      0.0      
8          0.688234   0.0      0.0      
9          0.774264   0.0      0.0      
