Force Vector: element_F

Element 0: 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -4.50e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 1: 0.00e+00, -4.50e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -2.05e+01, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 2: 0.00e+00, -2.05e+01, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -5.24e+01, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 3: 0.00e+00, -5.24e+01, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -1.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 4: 0.00e+00, -1.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -1.64e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 5: 0.00e+00, -1.64e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -2.44e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 6: 0.00e+00, -2.44e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -3.40e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 7: 0.00e+00, -3.40e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -4.52e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 8: 0.00e+00, -4.52e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -5.80e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 9: 0.00e+00, -5.80e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -7.08e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
