Force Vector: element_F

Element 0: 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 1: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 2: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 3: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 4: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 5: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 6: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 7: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 8: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
Element 9: 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00, -8.00e+02, 0.00e+00, 0.00e+00, 0.00e+00, 0.00e+00
