Row,Col,K Value
0,0,4000000000.000001
0,6,-4000000000.000001
1,1,4480089600.000002
1,7,-4480089600.000002
2,2,17920089600.000004
2,8,-17920089600.000004
3,3,1313075.6100000003
3,9,-1313075.6100000003
6,0,-4000000000.000001
6,6,4000000000.000001
7,1,-4480089600.000002
7,7,4480089600.000002
8,2,-17920089600.000004
8,8,17920089600.000004
9,3,-1313075.6100000003
9,9,1313075.6100000003
