[element_types]
EulerBernoulliBeamElement

[node_ids]   [x]          [y]        [z]        [connectivity]
126          1.001001     0.0        0.0        (126, 127)
127          1.009009     0.0        0.0        (127, 128)
128          1.017017     0.0        0.0        (128, 129)
129          1.025025     0.0        0.0        (129, 130)
130          1.033033     0.0        0.0        (130, 131)
131          1.041041     0.0        0.0        (131, 132)
132          1.049049     0.0        0.0        (132, 133)
133          1.057057     0.0        0.0        (133, 134)
134          1.065065     0.0        0.0        (134, 135)
135          1.073073     0.0        0.0        (135, 136)
136          1.081081     0.0        0.0        (136, 137)
137          1.089089     0.0        0.0        (137, 138)
138          1.097097     0.0        0.0        (138, 139)
139          1.105105     0.0        0.0        (139, 140)
140          1.113113     0.0        0.0        (140, 141)
141          1.121121     0.0        0.0        (141, 142)
142          1.129129     0.0        0.0        (142, 143)
143          1.137137     0.0        0.0        (143, 144)
144          1.145145     0.0        0.0        (144, 145)
145          1.153153     0.0        0.0        (145, 146)
146          1.161161     0.0        0.0        (146, 147)
147          1.169169     0.0        0.0        (147, 148)
148          1.177177     0.0        0.0        (148, 149)
149          1.185185     0.0        0.0        (149, 150)
150          1.193193     0.0        0.0        (150, 151)
151          1.201201     0.0        0.0        (151, 152)
152          1.209209     0.0        0.0        (152, 153)
153          1.217217     0.0        0.0        (153, 154)
154          1.225225     0.0        0.0        (154, 155)
155          1.233233     0.0        0.0        (155, 156)
156          1.241241     0.0        0.0        (156, 157)
157          1.249249     0.0        0.0        (157, 158)
158          1.257257     0.0        0.0        (158, 159)
159          1.265265     0.0        0.0        (159, 160)
160          1.273273     0.0        0.0        (160, 161)
161          1.281281     0.0        0.0        (161, 162)
162          1.289289     0.0        0.0        (162, 163)
163          1.297297     0.0        0.0        (163, 164)
164          1.305305     0.0        0.0        (164, 165)
165          1.313313     0.0        0.0        (165, 166)
166          1.321321     0.0        0.0        (166, 167)
167          1.329329     0.0        0.0        (167, 168)
168          1.337337     0.0        0.0        (168, 169)
169          1.345345     0.0        0.0        (169, 170)
170          1.353353     0.0        0.0        (170, 171)
171          1.361361     0.0        0.0        (171, 172)
172          1.369369     0.0        0.0        (172, 173)
173          1.377377     0.0        0.0        (173, 174)
174          1.385385     0.0        0.0        (174, 175)
175          1.393393     0.0        0.0        (175, 176)
176          1.401401     0.0        0.0        (176, 177)
177          1.409409     0.0        0.0        (177, 178)
178          1.417417     0.0        0.0        (178, 179)
179          1.425425     0.0        0.0        (179, 180)
180          1.433433     0.0        0.0        (180, 181)
181          1.441441     0.0        0.0        (181, 182)
182          1.449449     0.0        0.0        (182, 183)
183          1.457457     0.0        0.0        (183, 184)
184          1.465465     0.0        0.0        (184, 185)
185          1.473473     0.0        0.0        (185, 186)
186          1.481481     0.0        0.0        (186, 187)
187          1.489489     0.0        0.0        (187, 188)
188          1.497497     0.0        0.0        (188, 189)
189          1.505506     0.0        0.0        (189, 190)
190          1.513514     0.0        0.0        (190, 191)
191          1.521522     0.0        0.0        (191, 192)
192          1.529530     0.0        0.0        (192, 193)
193          1.537538     0.0        0.0        (193, 194)
194          1.545546     0.0        0.0        (194, 195)
195          1.553554     0.0        0.0        (195, 196)
196          1.561562     0.0        0.0        (196, 197)
197          1.569570     0.0        0.0        (197, 198)
198          1.577578     0.0        0.0        (198, 199)
199          1.585586     0.0        0.0        (199, 200)
200          1.593594     0.0        0.0        (200, 201)
201          1.601602     0.0        0.0        (201, 202)
202          1.609610     0.0        0.0        (202, 203)
203          1.617618     0.0        0.0        (203, 204)
204          1.625626     0.0        0.0        (204, 205)
205          1.633634     0.0        0.0        (205, 206)
206          1.641642     0.0        0.0        (206, 207)
207          1.649650     0.0        0.0        (207, 208)
208          1.657658     0.0        0.0        (208, 209)
209          1.665666     0.0        0.0        (209, 210)
210          1.673674     0.0        0.0        (210, 211)
211          1.681682     0.0        0.0        (211, 212)
212          1.689690     0.0        0.0        (212, 213)
213          1.697698     0.0        0.0        (213, 214)
214          1.705706     0.0        0.0        (214, 215)
215          1.713714     0.0        0.0        (215, 216)
216          1.721722     0.0        0.0        (216, 217)
217          1.729730     0.0        0.0        (217, 218)
218          1.737738     0.0        0.0        (218, 219)
219          1.745746     0.0        0.0        (219, 220)
220          1.753754     0.0        0.0        (220, 221)
221          1.761762     0.0        0.0        (221, 222)
222          1.769770     0.0        0.0        (222, 223)
223          1.777778     0.0        0.0        (223, 224)
224          1.785786     0.0        0.0        (224, 225)
225          1.793794     0.0        0.0        (225, 226)
226          1.801802     0.0        0.0        (226, 227)
227          1.809810     0.0        0.0        (227, 228)
228          1.817818     0.0        0.0        (228, 229)
229          1.825826     0.0        0.0        (229, 230)
230          1.833834     0.0        0.0        (230, 231)
231          1.841842     0.0        0.0        (231, 232)
232          1.849850     0.0        0.0        (232, 233)
233          1.857858     0.0        0.0        (233, 234)
234          1.865866     0.0        0.0        (234, 235)
235          1.873874     0.0        0.0        (235, 236)
236          1.881882     0.0        0.0        (236, 237)
237          1.889890     0.0        0.0        (237, 238)
238          1.897898     0.0        0.0        (238, 239)
239          1.905906     0.0        0.0        (239, 240)
240          1.913914     0.0        0.0        (240, 241)
241          1.921922     0.0        0.0        (241, 242)
242          1.929930     0.0        0.0        (242, 243)
243          1.937938     0.0        0.0        (243, 244)
244          1.945946     0.0        0.0        (244, 245)
245          1.953954     0.0        0.0        (245, 246)
246          1.961962     0.0        0.0        (246, 247)
247          1.969970     0.0        0.0        (247, 248)
248          1.977978     0.0        0.0        (248, 249)
249          1.985986     0.0        0.0        (249, 250)
250          1.993994     0.0        0.0        (250, 251)
251          2.002002     0.0        0.0        (251, 252)
252          2.010010     0.0        0.0        (252, 253)
253          2.018018     0.0        0.0        (253, 254)
254          2.026026     0.0        0.0        (254, 255)
255          2.034034     0.0        0.0        (255, 256)
256          2.042042     0.0        0.0        (256, 257)
257          2.050050     0.0        0.0        (257, 258)
258          2.058058     0.0        0.0        (258, 259)
259          2.066066     0.0        0.0        (259, 260)
260          2.074074     0.0        0.0        (260, 261)
261          2.082082     0.0        0.0        (261, 262)
262          2.090090     0.0        0.0        (262, 263)
263          2.098098     0.0        0.0        (263, 264)
264          2.106106     0.0        0.0        (264, 265)
265          2.114114     0.0        0.0        (265, 266)
266          2.122122     0.0        0.0        (266, 267)
267          2.130130     0.0        0.0        (267, 268)
268          2.138138     0.0        0.0        (268, 269)
269          2.146146     0.0        0.0        (269, 270)
270          2.154154     0.0        0.0        (270, 271)
271          2.162162     0.0        0.0        (271, 272)
272          2.170170     0.0        0.0        (272, 273)
273          2.178178     0.0        0.0        (273, 274)
274          2.186186     0.0        0.0        (274, 275)
275          2.194194     0.0        0.0        (275, 276)
276          2.202202     0.0        0.0        (276, 277)
277          2.210210     0.0        0.0        (277, 278)
278          2.218218     0.0        0.0        (278, 279)
279          2.226226     0.0        0.0        (279, 280)
280          2.234234     0.0        0.0        (280, 281)
281          2.242242     0.0        0.0        (281, 282)
282          2.250250     0.0        0.0        (282, 283)
283          2.258258     0.0        0.0        (283, 284)
284          2.266266     0.0        0.0        (284, 285)
285          2.274274     0.0        0.0        (285, 286)
286          2.282282     0.0        0.0        (286, 287)
287          2.290290     0.0        0.0        (287, 288)
288          2.298298     0.0        0.0        (288, 289)
289          2.306306     0.0        0.0        (289, 290)
290          2.314314     0.0        0.0        (290, 291)
291          2.322322     0.0        0.0        (291, 292)
292          2.330330     0.0        0.0        (292, 293)
293          2.338338     0.0        0.0        (293, 294)
294          2.346346     0.0        0.0        (294, 295)
295          2.354354     0.0        0.0        (295, 296)
296          2.362362     0.0        0.0        (296, 297)
297          2.370370     0.0        0.0        (297, 298)
298          2.378378     0.0        0.0        (298, 299)
299          2.386386     0.0        0.0        (299, 300)
300          2.394394     0.0        0.0        (300, 301)
301          2.402402     0.0        0.0        (301, 302)
302          2.410410     0.0        0.0        (302, 303)
303          2.418418     0.0        0.0        (303, 304)
304          2.426426     0.0        0.0        (304, 305)
305          2.434434     0.0        0.0        (305, 306)
306          2.442442     0.0        0.0        (306, 307)
307          2.450450     0.0        0.0        (307, 308)
308          2.458458     0.0        0.0        (308, 309)
309          2.466466     0.0        0.0        (309, 310)
310          2.474474     0.0        0.0        (310, 311)
311          2.482482     0.0        0.0        (311, 312)
312          2.490490     0.0        0.0        (312, 313)
313          2.498498     0.0        0.0        (313, 314)
314          2.506507     0.0        0.0        (314, 315)
315          2.514515     0.0        0.0        (315, 316)
316          2.522523     0.0        0.0        (316, 317)
317          2.530531     0.0        0.0        (317, 318)
318          2.538539     0.0        0.0        (318, 319)
319          2.546547     0.0        0.0        (319, 320)
320          2.554555     0.0        0.0        (320, 321)
321          2.562563     0.0        0.0        (321, 322)
322          2.570571     0.0        0.0        (322, 323)
323          2.578579     0.0        0.0        (323, 324)
324          2.586587     0.0        0.0        (324, 325)
325          2.594595     0.0        0.0        (325, 326)
326          2.602603     0.0        0.0        (326, 327)
327          2.610611     0.0        0.0        (327, 328)
328          2.618619     0.0        0.0        (328, 329)
329          2.626627     0.0        0.0        (329, 330)
330          2.634635     0.0        0.0        (330, 331)
331          2.642643     0.0        0.0        (331, 332)
332          2.650651     0.0        0.0        (332, 333)
333          2.658659     0.0        0.0        (333, 334)
334          2.666667     0.0        0.0        (334, 335)
335          2.674675     0.0        0.0        (335, 336)
336          2.682683     0.0        0.0        (336, 337)
337          2.690691     0.0        0.0        (337, 338)
338          2.698699     0.0        0.0        (338, 339)
339          2.706707     0.0        0.0        (339, 340)
340          2.714715     0.0        0.0        (340, 341)
341          2.722723     0.0        0.0        (341, 342)
342          2.730731     0.0        0.0        (342, 343)
343          2.738739     0.0        0.0        (343, 344)
344          2.746747     0.0        0.0        (344, 345)
345          2.754755     0.0        0.0        (345, 346)
346          2.762763     0.0        0.0        (346, 347)
347          2.770771     0.0        0.0        (347, 348)
348          2.778779     0.0        0.0        (348, 349)
349          2.786787     0.0        0.0        (349, 350)
350          2.794795     0.0        0.0        (350, 351)
351          2.802803     0.0        0.0        (351, 352)
352          2.810811     0.0        0.0        (352, 353)
353          2.818819     0.0        0.0        (353, 354)
354          2.826827     0.0        0.0        (354, 355)
355          2.834835     0.0        0.0        (355, 356)
356          2.842843     0.0        0.0        (356, 357)
357          2.850851     0.0        0.0        (357, 358)
358          2.858859     0.0        0.0        (358, 359)
359          2.866867     0.0        0.0        (359, 360)
360          2.874875     0.0        0.0        (360, 361)
361          2.882883     0.0        0.0        (361, 362)
362          2.890891     0.0        0.0        (362, 363)
363          2.898899     0.0        0.0        (363, 364)
364          2.906907     0.0        0.0        (364, 365)
365          2.914915     0.0        0.0        (365, 366)
366          2.922923     0.0        0.0        (366, 367)
367          2.930931     0.0        0.0        (367, 368)
368          2.938939     0.0        0.0        (368, 369)
369          2.946947     0.0        0.0        (369, 370)
370          2.954955     0.0        0.0        (370, 371)
371          2.962963     0.0        0.0        (371, 372)
372          2.970971     0.0        0.0        (372, 373)
373          2.978979     0.0        0.0        (373, 374)
374          2.986987     0.0        0.0        (374, 375)
375          2.994995     0.0        0.0        (375, 376)
376          3.003003     0.0        0.0        (376, 377)
377          3.011011     0.0        0.0        (377, 378)
378          3.019019     0.0        0.0        (378, 379)
379          3.027027     0.0        0.0        (379, 380)
380          3.035035     0.0        0.0        (380, 381)
381          3.043043     0.0        0.0        (381, 382)
382          3.051051     0.0        0.0        (382, 383)
383          3.059059     0.0        0.0        (383, 384)
384          3.067067     0.0        0.0        (384, 385)
385          3.075075     0.0        0.0        (385, 386)
386          3.083083     0.0        0.0        (386, 387)
387          3.091091     0.0        0.0        (387, 388)
388          3.099099     0.0        0.0        (388, 389)
389          3.107107     0.0        0.0        (389, 390)
