[Grid]
[node_id]   [x]         [y]       [z]
0          0.000000   0.0      0.0      
1          0.143506   0.0      0.0      
2          0.287011   0.0      0.0      
3          0.430517   0.0      0.0      
4          0.574022   0.0      0.0      
5          0.717528   0.0      0.0      
6          0.861033   0.0      0.0      
7          1.004539   0.0      0.0      
8          1.148044   0.0      0.0      
9          1.291550   0.0      0.0      
