[Grid]
[node_id]   [x]         [y]       [z]
0          0.000000   0.0      0.0      
1          0.011111   0.0      0.0      
2          0.022222   0.0      0.0      
3          0.033333   0.0      0.0      
4          0.044444   0.0      0.0      
5          0.055556   0.0      0.0      
6          0.066667   0.0      0.0      
7          0.077778   0.0      0.0      
8          0.088889   0.0      0.0      
9          0.100000   0.0      0.0      
