Row,Col,K Value
0,0,200000000000.00098
0,6,-200000000000.00098
1,1,560011200000008.06
1,5,320006400000004.5
1,7,-560011200000008.06
1,11,240004800000003.4
2,2,2240011200000031.2
2,4,-1280006400000018.0
2,8,-2240011200000031.2
2,10,-960004800000013.5
3,3,65653780.50000031
3,9,-65653780.50000031
4,2,-1280006400000018.0
4,4,746670400000010.4
4,8,1280006400000018.0
4,10,533336000000007.6
5,1,320006400000004.5
5,5,186670400000002.6
5,7,-320006400000004.5
5,11,133336000000001.89
6,0,-200000000000.00098
6,6,200000000000.00098
7,1,-560011200000008.06
7,5,-320006400000004.5
7,7,560011200000008.06
7,11,-240004800000003.4
8,2,-2240011200000031.2
8,4,1280006400000018.0
8,8,2240011200000031.2
8,10,960004800000013.5
9,3,-65653780.50000031
9,9,65653780.50000031
10,2,-960004800000013.5
10,4,533336000000007.6
10,8,960004800000013.5
10,10,426668800000006.06
11,1,240004800000003.4
11,5,133336000000001.89
11,7,-240004800000003.4
11,11,106668800000001.55
