[Mesh]
[node_ids]     [x]            [y]         [z]         [connectivity]      [element_type]           
1              0.000000       0.0         0.0         (1,2)               EulerBernoulliBeamElement3DOF
2              0.499997       0.0         0.0         (2,3)               EulerBernoulliBeamElement3DOF
3              0.970300       0.0         0.0         (3,4)               EulerBernoulliBeamElement3DOF
4              1.412673       0.0         0.0         (4,5)               EulerBernoulliBeamElement3DOF
5              1.828774       0.0         0.0         (5,6)               EulerBernoulliBeamElement3DOF
6              2.220164       0.0         0.0         (6,7)               EulerBernoulliBeamElement3DOF
7              2.588310       0.0         0.0         (7,8)               EulerBernoulliBeamElement3DOF
8              2.934592       0.0         0.0         (8,9)               EulerBernoulliBeamElement3DOF
9              3.260310       0.0         0.0         (9,10)              EulerBernoulliBeamElement3DOF
10             3.566684       0.0         0.0         (10,11)             EulerBernoulliBeamElement3DOF
11             3.854863       0.0         0.0         (11,12)             EulerBernoulliBeamElement3DOF
12             4.125927       0.0         0.0         (12,13)             EulerBernoulliBeamElement3DOF
13             4.380894       0.0         0.0         (13,14)             EulerBernoulliBeamElement3DOF
14             4.620718       0.0         0.0         (14,15)             EulerBernoulliBeamElement3DOF
15             4.846300       0.0         0.0         (15,16)             EulerBernoulliBeamElement3DOF
16             5.058485       0.0         0.0         (16,17)             EulerBernoulliBeamElement3DOF
17             5.258069       0.0         0.0         (17,18)             EulerBernoulliBeamElement3DOF
18             5.445800       0.0         0.0         (18,19)             EulerBernoulliBeamElement3DOF
19             5.622382       0.0         0.0         (19,20)             EulerBernoulliBeamElement3DOF
20             5.788478       0.0         0.0         (20,21)             EulerBernoulliBeamElement3DOF
21             5.944709       0.0         0.0         (21,22)             EulerBernoulliBeamElement3DOF
22             6.091662       0.0         0.0         (22,23)             EulerBernoulliBeamElement3DOF
23             6.229887       0.0         0.0         (23,24)             EulerBernoulliBeamElement3DOF
24             6.359904       0.0         0.0         (24,25)             EulerBernoulliBeamElement3DOF
25             6.482199       0.0         0.0         (25,26)             EulerBernoulliBeamElement3DOF
26             6.597232       0.0         0.0         (26,27)             EulerBernoulliBeamElement3DOF
27             6.705433       0.0         0.0         (27,28)             EulerBernoulliBeamElement3DOF
28             6.807208       0.0         0.0         (28,29)             EulerBernoulliBeamElement3DOF
29             6.902939       0.0         0.0         (29,30)             EulerBernoulliBeamElement3DOF
30             6.992984       0.0         0.0         (30,31)             EulerBernoulliBeamElement3DOF
31             7.077682       0.0         0.0         (31,32)             EulerBernoulliBeamElement3DOF
32             7.157350       0.0         0.0         (32,33)             EulerBernoulliBeamElement3DOF
33             7.232287       0.0         0.0         (33,34)             EulerBernoulliBeamElement3DOF
34             7.302773       0.0         0.0         (34,35)             EulerBernoulliBeamElement3DOF
35             7.369073       0.0         0.0         (35,36)             EulerBernoulliBeamElement3DOF
36             7.431436       0.0         0.0         (36,37)             EulerBernoulliBeamElement3DOF
37             7.490095       0.0         0.0         (37,38)             EulerBernoulliBeamElement3DOF
38             7.545271       0.0         0.0         (38,39)             EulerBernoulliBeamElement3DOF
39             7.597170       0.0         0.0         (39,40)             EulerBernoulliBeamElement3DOF
40             7.645986       0.0         0.0         (40,41)             EulerBernoulliBeamElement3DOF
41             7.691904       0.0         0.0         (41,42)             EulerBernoulliBeamElement3DOF
42             7.735094       0.0         0.0         (42,43)             EulerBernoulliBeamElement3DOF
43             7.775720       0.0         0.0         (43,44)             EulerBernoulliBeamElement3DOF
44             7.813933       0.0         0.0         (44,45)             EulerBernoulliBeamElement3DOF
45             7.849876       0.0         0.0         (45,46)             EulerBernoulliBeamElement3DOF
46             7.883685       0.0         0.0         (46,47)             EulerBernoulliBeamElement3DOF
47             7.915486       0.0         0.0         (47,48)             EulerBernoulliBeamElement3DOF
48             7.945399       0.0         0.0         (48,49)             EulerBernoulliBeamElement3DOF
49             7.973535       0.0         0.0         (49,50)             EulerBernoulliBeamElement3DOF
50             8.000000       0.0         0.0         -                   -                        
