Local DOF,R_e Value
0,0.000000000000e+00
1,-5.597817520724e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-6.204168539997e-07
6,0.000000000000e+00
7,-6.227595750232e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-6.422283837372e-07
