Local DOF,R_e Value
0,0.000000000000e+00
1,-8.936312161213e-06
2,0.000000000000e+00
3,0.000000000000e+00
4,-0.000000000000e+00
5,-7.095162395889e-07
6,0.000000000000e+00
7,-9.650913005647e-06
8,0.000000000000e+00
9,0.000000000000e+00
10,-0.000000000000e+00
11,-7.213486377781e-07
