Row,Col,K Value
0,0,1.372929558000001e+16
0,6,-1.372929558000001e+16
1,1,73653703200000.14
1,5,42087830400000.07
1,7,-73653703200000.14
1,11,31565872800000.06
2,2,11409552000000.021
2,4,-6519744000000.012
2,8,-11409552000000.021
2,10,-4889808000000.01
3,3,105572.56500000009
3,9,-105572.56500000009
4,2,-6519744000000.012
4,4,3803184000000.007
4,8,6519744000000.012
4,10,2716560000000.0054
5,1,42087830400000.086
5,5,24551234400000.05
5,7,-42087830400000.086
5,11,17536596000000.035
6,0,-1.372929558000001e+16
6,6,1.372929558000001e+16
7,1,-73653703200000.14
7,5,-42087830400000.07
7,7,73653703200000.14
7,11,-31565872800000.06
8,2,-11409552000000.021
8,4,6519744000000.012
8,8,11409552000000.021
8,10,4889808000000.01
9,3,-105572.56500000009
9,9,105572.56500000009
10,2,-4889808000000.01
10,4,2716560000000.0054
10,8,4889808000000.01
10,10,2173248000000.004
11,1,31565872800000.062
11,5,17536596000000.035
11,7,-31565872800000.062
11,11,14029276800000.027
