Row,Col,K Value
0,0,1.372929558e+16
0,6,-1.372929558e+16
1,1,73653703199999.97
1,5,42087830399999.984
1,7,-73653703199999.97
1,11,31565872799999.996
2,2,11409551999999.994
2,4,-6519743999999.998
2,8,-11409551999999.994
2,10,-4889807999999.998
3,3,105572.56500000002
3,9,-105572.56500000002
4,2,-6519743999999.998
4,4,3803183999999.999
4,8,6519743999999.998
4,10,2716559999999.999
5,1,42087830399999.99
5,5,24551234399999.992
5,7,-42087830399999.99
5,11,17536595999999.998
6,0,-1.372929558e+16
6,6,1.372929558e+16
7,1,-73653703199999.97
7,5,-42087830399999.984
7,7,73653703199999.97
7,11,-31565872799999.996
8,2,-11409551999999.994
8,4,6519743999999.998
8,8,11409551999999.994
8,10,4889807999999.998
9,3,-105572.56500000002
9,9,105572.56500000002
10,2,-4889807999999.998
10,4,2716559999999.999
10,8,4889807999999.998
10,10,2173247999999.9995
11,1,31565872800000.0
11,5,17536595999999.998
11,7,-31565872800000.0
11,11,14029276800000.0
