Element ID,Local DOF,Global DOF,Fixed(1)/Free(0) Flag,Zero(1)/Non-zero(0) Flag,Active(1)/Inactive(0) Flag,Condensed DOF,Reconstructed Global DOF
0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[-1, -1, -1, -1, -1, -1, 0, 1, 2, 3, -1, -1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.2320982151785522e-05, 0.0, 0.0, 0.0, 0.0]"
1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 1, 2, 3, -1, -1, 4, 5, 6, 7, -1, -1]","[0.0, -2.2320982151785522e-05, 0.0, 0.0, 0.0, 0.0, 0.0, -4.464196430357105e-05, 0.0, 0.0, 0.0, 0.0]"
